"frameCount";"StaticqueueDensity";"currentNoOfBlobs"
"1165";"11";"2"
"1166";"12";"1"
"1167";"10";"3"
"1168";"10";"4"
"1169";"14";"0"
"1170";"12";"3"
"1171";"14";"1"
"1172";"14";"1"
"1173";"13";"2"
"1174";"14";"1"
"1175";"14";"1"
"1176";"13";"2"
"1177";"13";"1"
"1178";"14";"0"
"1179";"13";"2"
"1180";"13";"1"
"1181";"14";"0"
"1182";"12";"2"
"1183";"12";"2"
"1184";"13";"1"
"1185";"12";"2"
"1186";"12";"2"
"1187";"13";"1"
"1188";"13";"1"
"1189";"13";"1"
"1190";"14";"0"
"1191";"13";"1"
"1192";"13";"1"
"1193";"13";"1"
"1194";"13";"1"
"1195";"13";"1"
"1196";"13";"1"
"1197";"13";"1"
"1198";"13";"1"
"1199";"14";"0"
"1200";"13";"1"
"1201";"13";"1"
"1202";"14";"0"
"1203";"13";"1"
"1204";"13";"1"
"1205";"14";"0"
"1206";"13";"1"
"1207";"14";"0"
"1208";"14";"0"
"1209";"14";"0"
"1210";"14";"0"
"1211";"14";"0"
"1212";"14";"0"
"1213";"14";"0"
"1214";"14";"0"
"1215";"14";"0"
"1216";"14";"0"
"1217";"14";"0"
"1218";"14";"0"
"1219";"14";"0"
"1220";"14";"0"
"1221";"14";"0"
"1222";"14";"0"
"1223";"14";"0"
"1224";"14";"0"
"1225";"14";"0"
"1226";"14";"0"
"1227";"14";"0"
"1228";"14";"0"
"1229";"14";"0"
"1230";"14";"0"
"1231";"14";"0"
"1232";"14";"0"
"1233";"14";"0"
"1234";"14";"0"
"1235";"13";"1"
"1236";"12";"2"
"1237";"13";"1"
"1238";"14";"0"
"1239";"13";"1"
"1240";"13";"2"
"1241";"15";"0"
"1242";"14";"1"
"1243";"14";"2"
"1244";"15";"0"
"1245";"15";"0"
"1246";"14";"2"
"1247";"15";"0"
"1248";"14";"2"
"1249";"15";"1"
"1250";"15";"0"
"1251";"15";"0"
"1252";"15";"0"
"1253";"15";"0"
"1254";"15";"0"
"1255";"14";"1"
"1256";"15";"0"
"1257";"14";"1"
"1258";"14";"1"
"1259";"15";"0"
"1260";"14";"1"
"1261";"14";"1"
"1262";"15";"0"
"1263";"15";"0"
"1264";"15";"0"
"1265";"15";"0"
"1266";"15";"0"
"1267";"15";"0"
"1268";"15";"0"
"1269";"15";"0"
"1270";"15";"0"
"1271";"15";"0"
"1272";"15";"0"
"1273";"14";"1"
"1274";"15";"0"
"1275";"15";"0"
"1276";"15";"0"
"1277";"15";"0"
"1278";"13";"3"
"1279";"14";"2"
"1280";"15";"0"
"1281";"14";"1"
"1282";"14";"1"
"1283";"15";"0"
"1284";"14";"1"
"1285";"14";"1"
"1286";"15";"0"
"1287";"14";"1"
"1288";"14";"1"
"1289";"15";"0"
"1290";"15";"0"
"1291";"15";"1"
"1292";"15";"0"
"1293";"15";"0"
"1294";"14";"1"
"1295";"15";"0"
"1296";"13";"2"
"1297";"14";"1"
"1298";"14";"1"
"1299";"14";"1"
"1300";"14";"1"
"1301";"14";"1"
"1302";"13";"2"
"1303";"14";"1"
"1304";"14";"0"
"1305";"14";"0"
"1306";"14";"0"
"1307";"14";"0"
"1308";"13";"1"
"1309";"14";"0"
"1310";"14";"0"
"1311";"14";"1"
"1312";"14";"2"
"1313";"14";"0"
"1314";"14";"1"
"1315";"14";"1"
"1316";"14";"0"
"1317";"14";"1"
"1318";"14";"1"
"1319";"14";"0"
"1320";"14";"0"
"1321";"14";"0"
"1322";"14";"0"
"1323";"14";"0"
"1324";"13";"1"
"1325";"14";"0"
"1326";"13";"1"
"1327";"13";"1"
"1328";"13";"0"
"1329";"13";"0"
"1330";"13";"0"
"1331";"13";"0"
"1332";"13";"0"
"1333";"13";"1"
"1334";"13";"0"
"1335";"13";"0"
"1336";"13";"0"
"1337";"13";"0"
"1338";"13";"0"
"1339";"13";"0"
"1340";"13";"0"
"1341";"13";"0"
"1342";"13";"0"
"1343";"13";"0"
"1344";"13";"0"
"1345";"13";"0"
"1346";"13";"0"
"1347";"13";"0"
"1348";"12";"2"
